Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
FS_00l_pb09f08,FS,0,pb09,2,7.5,n,y,n,y,0.036443261,0.48,0.32,0.4,0.17,0.666666667,0.833333333,0.1875,0.645833333,0.354166667,
FS_00l_pb09f09,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.47,0.32,0.35,0.2,0.680851064,0.744680851,0.170212766,0.574468085,0.425531915,4.74
FS_00l_pb09f10,FS,0,pb09,2,7.5,y,y,n,y,0.036443261,0.495,0.35,0.385,0.2,0.707070707,0.777777778,0.181818182,0.595959596,0.404040404,4.74
FS_00l_pb10f01,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.46,0.32,0.405,0.185,0.695652174,0.880434783,0.282608696,0.597826087,0.402173913,6.93
FS_00l_pb10f02,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.575,0.41,0.475,0.3,0.713043478,0.826086957,0.347826087,0.47826087,0.52173913,
FS_00l_pb10f03,FS,0,pb10,3,7.5,n,y,n,y,0.028446724,0.65,0.415,0.54,0.31,0.638461538,0.830769231,0.307692308,0.523076923,0.476923077,5.05
FS_00l_pb10f04,FS,0,pb10,3,7.5,n,y,y,y,0.028446724,0.71,0.45,0.61,0.33,0.633802817,0.85915493,0.323943662,0.535211268,0.464788732,7.28
FS_00l_pb10f05,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.58,0.35,0.51,0.21,0.603448276,0.879310345,0.24137931,0.637931034,0.362068966,5.11
FS_00l_pb10f06,FS,0,pb10,3,7.5,y,y,y,y,0.028446724,0.53,0.295,0.46,0.2,0.556603774,0.867924528,0.245283019,0.622641509,0.377358491,
FS_00l_pb10f07,FS,0,pb10,3,7.5,y,y,n,y,0.028446724,0.51,0.33,0.44,0.21,0.647058824,0.862745098,0.274509804,0.588235294,0.411764706,
FS_10l_pb06f06,FS,10,pb06,15,14,y,y,y,y,0.025654387,0.79,0.58,0.645,0.405,0.734177215,0.816455696,0.329113924,0.487341772,0.512658228,
FS_10l_pb06f07,FS,10,pb06,15,14,y,y,n,y,0.025654387,1.025,0.745,0.855,0.535,0.726829268,0.834146341,0.356097561,0.47804878,0.52195122,
FS_10l_pb06f08,FS,10,pb06,15,14,n,y,n,y,0.025654387,0.71,0.555,0.66,0.355,0.781690141,0.929577465,0.429577465,0.5,0.5,10.03
FS_10l_pb07f01,FS,10,pb07,8,13,y,y,n,y,0.029643375,0.795,0.605,0.55,0.45,0.761006289,0.691823899,0.257861635,0.433962264,0.566037736,
FS_10l_pb07f02,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.63,0.54,0.495,0.37,0.857142857,0.785714286,0.373015873,0.412698413,0.587301587,
FS_10l_pb07f03,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.53,0.4,0.465,0.25,0.754716981,0.877358491,0.349056604,0.528301887,0.471698113,
FS_10l_pb07f04,FS,10,pb07,8,13,n,y,n,y,0.029643375,0.54,0.46,0.47,0.255,0.851851852,0.87037037,0.342592593,0.527777778,0.472222222,
FS_10l_pb07f05,FS,10,pb07,8,13,y,y,y,y,0.029643375,0.68,0.485,0.63,0.26,0.713235294,0.926470588,0.308823529,0.617647059,0.382352941,7.69
