pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.616057,872.222686,182.820000,786.420000,219.900000,732.960000,148.380000,726.330000,214.950000,701.280000,337.400000,647.950000,403.920000,678.520000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.564040,858.999557,181.790000,784.830000,219.890000,732.470000,148.350000,725.870000,214.920000,700.760000,336.870000,647.440000,403.910000,678.990000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.689112,846.018856,180.960971,783.563043,219.340000,731.970000,148.350000,725.850000,214.930000,700.190000,336.580000,646.770000,403.860000,678.410000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.168363,835.330168,180.335449,782.616301,218.870000,731.910000,147.880000,725.890000,214.440000,699.770000,335.700000,646.950000,403.770000,677.920000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134.855972,823.715857,180.022689,782.931882,218.900000,731.460000,147.950000,725.930000,213.980000,699.370000,335.230000,646.850000,403.330000,678.130000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159.908278,811.418351,180.960971,781.669558,218.470000,730.960000,147.980000,725.930000,213.480000,698.940000,334.960000,646.910000,402.940000,677.930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186.476219,805.952793,181.586492,781.985139,217.980000,730.960000,147.980000,725.950000,213.470000,698.930000,334.980000,646.950000,402.980000,677.460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
216.413973,801.769598,181.586492,782.300720,218.510000,731.010000,148.000000,725.500000,213.000000,698.500000,335.020000,647.030000,402.540000,677.010000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250.638254,796.254456,183.463055,782.300720,219.040000,731.020000,148.010000,725.550000,213.530000,698.550000,335.580000,646.630000,402.360000,677.040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
278.076007,790.105703,184.401337,782.616301,219.560000,731.020000,148.030000,725.550000,214.010000,698.570000,336.090000,647.060000,402.030000,677.540000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300.242867,783.773755,187.841704,782.931882,219.980000,730.990000,147.990000,725.970000,214.490000,698.470000,336.010000,646.910000,401.980000,677.460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
322.701369,777.625002,192.220352,782.300720,220.000000,731.020000,148.000000,725.470000,214.960000,698.430000,336.030000,647.090000,402.020000,677.040000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
340.482782,774.209028,200.664888,782.931882,220.540000,731.040000,148.520000,725.510000,215.520000,698.530000,336.090000,647.110000,402.060000,677.060000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
352.571472,773.917015,208.483903,783.247462,221.050000,730.970000,149.010000,725.440000,216.000000,698.510000,336.570000,647.090000,402.040000,677.570000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
364.227812,774.917015,215.364636,782.931882,221.140000,730.980000,149.520000,725.000000,216.550000,698.680000,336.760000,648.040000,402.640000,678.710000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
372.691429,776.075418,219.961689,781.960252,221.080000,731.000000,150.050000,725.040000,217.060000,698.740000,336.660000,648.760000,403.090000,679.470000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
378.608144,776.917015,223.346107,782.485627,221.080000,731.010000,150.570000,724.880000,216.950000,698.520000,337.100000,649.310000,403.830000,679.870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
